,name,category,star,star_count,review,address,위도,경도
43,스타벅스 남부터미널2점,커피전문점,3.6,5건,7,서울 서초구 효령로 274,37.4843935767795,127.014213538613
44,함평한우정육식당 서초본점,"육류,고기",3.5,4건,5,서울 서초구 효령로55길 57,37.4872629612234,127.013932649965
45,정순화청국장 서초본점,한식,4.6,5건,8,서울 서초구 효령로 362 야장빌딩 1층,37.4867687631524,127.023556370225
46,P268,카페,1.8,4건,36,서울 서초구 서초중앙로 72,37.4881216800977,127.014931006517
47,소울버킷,햄버거,4.6,12건,49,서울 서초구 서초중앙로 75 202호,37.4885005435472,127.014286230696
48,스타벅스 남부터미널점,커피전문점,3.5,16건,6,서울 서초구 서초중앙로 26 서초동 삼성 래미안 아파트 유니빌1층,37.4846872089607,127.016991752076
49,조선화로집 교대점,"육류,고기",5.0,1건,5,서울 서초구 사임당로 27 평환빌딩 1층,37.4881098155374,127.013174322322
50,미토요,"돈까스,우동",3.3,4건,43,서울 서초구 효령로 279 지하1층,37.4849415024327,127.014765522044
51,호주,일본식주점,4.3,4건,20,서울 서초구 서초중앙로 51 서초신성미소시티 1층 105호,37.486312988348,127.014995322006
52,스타벅스 서울교대점,커피전문점,2.6,13건,9,서울 서초구 서초중앙로 64 1층,37.4874401271955,127.015170128436
53,더진미평냉,냉면,4.5,14건,11,서울 서초구 서초중앙로 58 피앤디 솔로빌 지하2층,37.4871437304777,127.015593855751
54,타지 서초점,인도음식,3.7,26건,22,서울 서초구 서초중앙로2길 35,37.484096350928,127.019192893295
55,유다,일본식주점,3.3,3건,9,서울 서초구 반포대로20길 57 한송빌딩 1층,37.488580801863,127.012907101872
56,해담 서초본점,회,1.9,13건,4,서울 서초구 사임당로 39 한성빌딩 2층,37.4884189352008,127.014095010132
57,KFC 서초동점,패스트푸드,2.4,20건,8,서울 서초구 효령로 283,37.485018595965,127.015025591396
58,김봉남포장마차 남부터미널점,실내포장마차,4.7,6건,26,서울 서초구 반포대로12길 26,37.4847898270854,127.01275019151
