,address,category,eval_cnt,name,review_cnt,score
173,서초동 1427-19,동남아음식,18,포프롬나드 본점,20,2.8
174,서초동 1599-11,"해물,생선",2,청해복장어전문점,0,5.0
175,서초동 1443-24,회,6,통영味鮮,0,3.6
176,서초동 1443-32,일식집,5,최수사,2,3.0
177,서초동 1444-20,중화요리,1,만리향,14,1.0
178,서초동 1601-1,샤브샤브,5,명동칼국수샤브샤브 서초점,7,3.8
179,서초동 1616-6,"매운탕,해물탕",0,용궁해물탕,0,0.0
180,서초3동 1588-11,"찌개,전골",4,산애들,4,4.5
181,서초동 1603-66,한식,16,칠갑청국장육회 남부터미널지점,9,3.6
182,서초동 1603-68,치킨,2,꼬꾸이,4,3.0
183,서초동 1603-69,다방,0,황다방,2,0.0
184,서초동 1603-67,치킨,6,노랑통닭 남부터미널점,2,3.0
185,서초동 1451-23,국수,6,밀마을칼국수,6,4.5
186,서초동 1601-2,"육류,고기",0,그릴진 남부터미널역점,3,0.0
187,서초동 1425-9,샌드위치,0,타미하우스 남부터미널점,1,0.0
188,서초동 1438-9,카페,1,플라티,2,2.0
189,서초동 1458-6,"돈까스,우동",10,미소야 서초점,4,2.3
190,서초동 1589-5,양꼬치,10,서울양꼬치,8,3.3
191,서초동 1458-6,분식,0,김밥천국 예술의전당점,1,0.0
192,서초동 1432-23,한정식,4,이베리코,1,5.0
193,서초동 1588-1,"호프,요리주점",0,펀비어킹 남부터미널점,1,0.0
194,서초동 1442-14,양식,1,브라운하우스,2,2.0
195,서초동 1451-63,일본식주점,1,진심에취하다,2,5.0
196,서초동 1443-24,"해물,생선",0,통영미선,2,0.0
197,서초동 1445-4,"족발,보쌈",9,미양마늘보쌈집 남부터미널점,5,3.4
198,서초동 1446-1,"제과,베이커리",5,송사부수제쌀고로케 남부터미널점,70,3.0
199,서초동 1598-2,디저트카페,2,요거프레소 서울교대점,2,3.5
200,서초동 1443-1,양꼬치,3,해월양꼬치샤브샤브 서초점,8,3.3
201,서초동 1451-31,중화요리,2,소윤화,3,4.5
202,서초동 1443-1,도시락,4,한솥도시락 국제전자센터옆점,6,2.0
203,서초동 1459-9,카페,5,EU,7,5.0
204,서초동 1600-9,카페,0,카페준,22,0.0
205,서초동 1589-12,"해물,생선",5,오징어나라 서초점,1,3.3
206,서초동 1595-6,라이브카페,0,라이브잼,2,0.0
207,서초동 1580-6,분식,0,김밥,1,0.0
208,서초동 1599-11,"찌개,전골",2,참살이청국장,2,5.0
209,서초동 1600-7,치킨,8,더대박치킨 서초점,3,4.6
210,서초동 1449-8,카페,1,오페라빈로스터스 예술의전당점,0,5.0
211,서초동 1564-2,중식,3,홍등,3,4.7
212,서초동 1442-21,한식,3,송황칼국수,3,4.0
213,서초동 1440-1,떡볶이,4,왕떡볶이,1,4.0
214,서초동 1604-18,"제과,베이커리",6,파리바게뜨 서초중앙점,2,3.5
215,서초동 1598-1,한식뷔페,0,한가람,0,0.0
216,서초동 1442-19,감자탕,1,가마솥감자탕,0,4.0
217,서초동 1601-1,커피전문점,4,벨라빈스커피 남부터미널점,1,2.3
218,서초동 1579-7,장어,2,장어만구이,0,5.0
219,서초동 1621-26,치킨,0,무봤나촌닭 서초점,0,0.0
220,서초동 1588-13,국수,2,국수명가,6,3.5
221,서초동 1600-9,분식,1,충무김밥 서초점,0,4.0
222,서초동 1446-1,분식,1,우리김밥,1,4.0
223,서초동 1432-24,카페,2,커먼띵스,4,3.0
224,서초동 1603-12,닭요리,4,래빈,6,1.8
225,서초동 1603-69,한정식,5,남도맛집,1,4.0
226,서초동 1596-6,분식,3,포마토,1,2.0
227,서초동 1600-9,디저트카페,0,온이유,1,0.0
228,서초동 1580-6,닭요리,0,종로닭한마리부대찌개,1,0.0
229,서초동 1601-1,분식,5,김밥천국 남부터미널점,0,1.8
230,서초동 1619-6,카페,0,쟈니스커피,1,0.0
231,서초동 1425-1,중식,0,팔당반점,0,0.0
232,서초동 1588-6,분식,3,김가네 남부터미널점,3,3.0
233,서초동 1606-5,기사식당,2,우래기사식당,1,2.0
234,서초동 1441-1,국밥,0,완산골명가 남부터미널점,1,0.0
235,서초동 1603-69,"호프,요리주점",2,동호숯불바베큐호프,7,4.5
236,서초동 1442-11,"육류,고기",1,서초동고기집,4,5.0
237,서초동 1619-6,"제과,베이커리",4,미에뜨케이크,3,4.8
238,서초동 1602-8,카페,2,옛다원 서초점,4,4.0
239,서초동 1600-9,일본식주점,1,락가,4,5.0
240,서초동 1579-5,중화요리,2,일억조중국요리,0,1.0
241,서초동 1443-2,"떡,한과",0,빚은 남부터미널역점,0,0.0
242,서초동 1627-5,한식,1,교대시골밥상,3,3.0
243,서초동 1580-6,한정식,0,진오돌뼈,0,0.0
244,서초동 1451-42,설렁탕,2,서초회관,0,2.5
245,서초동 1601-1,일식집,0,참치현,2,0.0
246,서초동 1603-68,순대,9,권서방네순대국왕순대 남부터미널점,2,3.0
247,서초동 1445-13,카페,1,브로앤시스,0,5.0
248,서초동 1446-1,닭강정,0,치&강 남부터미널점,2,0.0
249,서초동 1451-16,실내포장마차,3,생생포차,1,4.3
250,서초동 1598-1,카페,0,바나프레소 교대사거리점,0,0.0
251,서초동 1427-17,갈비,2,돈바바,0,5.0
252,서초동 1589-14,"호프,요리주점",1,을지로골뱅이와 꼬까닥치킨 진짜생맥주 서초본점,1,5.0
253,서초동 1602-10,"돈까스,우동",27,오사카동,11,2.1
254,서초동 1451-23,카페,0,카페고도,6,0.0
255,서초동 1431-10,순대,0,백암순대국,0,0.0
256,서초동 1431-10,회,0,바다풍경,1,0.0
257,서초동 1427-4,커피전문점,2,미스터브리즈커피 남부터미널점,0,3.5
258,서초동 1443-13,카페,2,9카페,1,5.0
259,서초동 1434-12,카페,0,베리언스,0,0.0
260,서초동 1605-9,아이스크림,2,라크레모사,5,3.0
261,서초동 1588-2,술집,0,라이언위스키 교대2호점,0,0.0
262,서초동 1602-8,커피전문점,1,브로드커피,1,5.0
263,서초동 1451-27,한식,0,가정식백반 남부촌,1,0.0
264,서초동 1455-8,"제과,베이커리",3,퐁데자르,1,5.0
265,서초동 1603-1,도시락,0,본도시락 남부터미널점,3,0.0
266,서초동 1617-33,커피전문점,0,커피스타카토,0,0.0
267,서초동 1564-2,음식점,0,썸,0,0.0
268,서초동 1445-3,한식뷔페,0,충무식당,1,0.0
269,서초동 1451-10,커피전문점,1,그래놀라와 오슬로우,5,5.0
270,서초동 1603-66,애견카페,0,애견호텔,0,0.0
271,서초동 1601-1,한식,1,꼬꼬막 서초점,4,2.0
272,서초동 1599-2,순대,2,한국찹쌀순대,1,4.5
273,서초동 1427-4,복어,0,서초복집,0,0.0
274,서초동 1443-6,실내포장마차,2,먹마포차,1,2.5
275,서초동 1588-11,회,1,서해수산,1,3.0
276,서초동 1442-9,커피전문점,1,바빈스커피 서초점,0,5.0
277,서초동 1596-6,카페,3,풀떼기,2,3.3
278,서초구 서초동 1428-4,국밥,0,전주콩나물해장국밥,0,0.0
279,서초동 1445-13,"제과,베이커리",0,루엘드파리 아뜰리에,7,0.0
280,서초동 1442-9,카페,0,보네르67,3,0.0
281,서초동 1627-5,삼겹살,0,배달삼겹돼지되지 서초점,1,0.0
282,서초동 1446-1,"제과,베이커리",1,앤티앤스프레즐 남부터미널점,0,5.0
283,서초동 1445-3,국수,2,우리들손칼국수,1,4.5
284,서초동 1603-68,"족발,보쌈",1,서초손칼국시보쌈 서초점,1,5.0
285,서초동 1601-1,"육류,고기",0,서초정육식당,1,0.0
286,서초동 1428-13,분식,2,울엄마김밥 서초본점,0,4.0
287,서초동 1446-1,패스트푸드,0,스테프핫도그 남부터미널점,0,0.0
288,서초동 1604-4,카페,0,멜슨하우스,0,0.0
289,서초동 1603-9,한식,0,나래종합한식분식,2,0.0
290,서초동 1622-19,뷔페,0,게장부페,0,0.0
291,서초동 1431-1,갈비,1,마포 돼지갈비생삼겹살,1,5.0
292,서초3동 1580-6,커피전문점,2,커피오도레,2,3.0
293,서초동 1588-12,카페,0,페이드,0,0.0
294,서초동 1588-7,"족발,보쌈",0,방배족발 서초점,0,0.0
295,서초동 1623-3,갈비,1,감나무참숯갈비 서초본점,2,5.0
296,서초동 1445-4,국수,5,명동할머니국수 남부터미널점,3,3.6
297,서초동 1442-10,일식,0,우리동네청년어부서초점,1,0.0
