,name,address,score,score_cnt,review_cnt,awareness,lat,lng
185,이디야커피 성수아카데미점,성수동2가 277-17,0.0,0,2,0.2,37.5451437,127.0578284
186,매머드커피 성수점,성수동2가 277-117,0.0,0,2,0.2,37.54452029999999,127.0573972
187,커피코코,성수동2가 278-35,5.0,1,1,1.1,37.545808,127.0614877
188,뿐또블루,성수동2가 19-7,5.0,1,0,1.0,37.5431087,127.0638934
189,감성커피,자양동 9-31,1.0,2,2,2.2,37.5401091,127.0674252
190,가비당,성수동1가 13-248,5.0,1,17,2.7,37.5506892,127.0497993
191,프롬하츠커피 성수점,성수동1가 656-365,4.5,2,4,2.4,37.5409097,127.047615
192,라이트레인,자양동 17-1,3.0,1,124,13.4,37.5411175,127.0660706
193,르호봇프로젝트,성수동1가 293,4.5,4,10,5.0,37.53802,127.05119
194,헤이보울,성수동2가 321-70,0.0,0,12,1.2,37.5414092,127.0550499
195,카모플라쥬,성수동1가 656-703,5.0,1,7,1.7,37.5489575,127.0456713
196,마가지노,성수동2가 339-137,4.0,3,8,3.8,37.5394717,127.054908
197,포레스트,성수동1가 656-1028,5.0,1,5,1.5,37.5459876,127.0474565
198,화이트캐슬 건대점,화양동 9-91,4.3,4,11,5.1,37.5414065,127.068776
199,에스티디오,성수동1가 685-259,3.4,5,5,5.5,37.5473778,127.0420928
200,카페리빈 갤러리아포레점,성수동1가 685-696,0.0,0,9,0.9,37.5457427,127.04246
201,아마스빈 뚝섬역점,성수동1가 14-19,2.0,4,6,4.6,37.5467161,127.0500851
202,바풍슬라임카페,화양동 42-21,5.0,1,3,1.3,37.5427005,127.065029
203,카페레가토,화양동 31-3,4.2,5,15,6.5,37.5463294,127.0675842
204,조프리케이크,성수동1가 198-2,3.0,2,4,2.4,37.5384974,127.0482556
205,#무궁화,자양동 24-1,4.0,2,28,4.8,37.5413019,127.0639884
206,더리터 성수역점,성수동2가 289-26,3.0,1,4,1.4,37.54613000000001,127.0542932
207,빽다방 성수역롯데캐슬점,성수동2가 289-10,3.4,5,2,5.2,37.5452446,127.0570452
208,베리베리,성수동1가 685-491,0.0,0,11,1.1,37.54738589999999,127.0397603
209,달콤커피 성수트러스톤점,성수동1가 656-505,1.0,1,0,1.0,37.542113,127.0464296
210,백야드빌더 성수점,성수동1가 656-609,0.0,0,2,0.2,37.5513852,127.0470449
211,카페817,성수동2가 273-67,0.0,0,7,0.7,37.542313,127.0582171
212,카나비스트릿,성수동1가 656-947,4.0,2,4,2.4,37.5496496,127.0445693
213,투썸플레이스 건대입구CGV점,자양동 9-4,0.0,0,0,0.0,37.5397483,127.0669205
214,육하나이,성수동2가 299-231,4.0,3,9,3.9,37.5478359,127.0546564
215,더치앤빈 성수점,성수동2가 339-136,4.0,1,0,1.0,37.5394221,127.0545703
216,카페코이,성수동1가 685-350,0.0,0,11,1.1,37.5478088,127.0400253
217,오설록 티하우스 아모레성수점,성수동2가 277-52,4.0,1,6,1.6,37.5444311,127.0590935
218,열매제과점,화양동 36-60,5.0,2,16,3.6,37.5435969,127.0669427
219,킨들샵,성수동2가 289-305,0.0,0,0,0.0,37.546007,127.0573887
220,과일파는덕이언니,성수동1가 16-8,2.0,4,6,4.6,37.5447137,127.0494892
221,디열커피 성수,성수동1가 72-8,0.0,0,7,0.7,37.5413651,127.0488867
222,어페어커피,성수동2가 559-4,3.0,1,11,2.1,37.5366569,127.0550329
223,터치카페 서울숲점,성수동1가 668-34,5.0,1,16,2.6,37.5466489,127.0440995
224,원모어바이트,성수동2가 289-204,2.5,2,6,2.6,37.5487468,127.0558966
225,카페쉼,화양동 21-20,4.3,4,15,5.5,37.5478283,127.0677579
226,락립배 건대점,화양동 7-3,4.0,1,7,1.7,37.5407487,127.0690014
227,더퓨러 건대CGV점,자양동 9-4,5.0,4,32,7.2,37.5397483,127.0669205
228,이디야커피 성수2가점,성수동2가 561-1,0.0,0,0,0.0,37.5371206,127.0550961
229,공차 성수성원점,성수동2가 333-16,3.0,5,1,5.1,37.5399389,127.0531674
230,로스트체리,자양동 6-31,0.0,0,5,0.5,37.54002699999999,127.0679852
231,오늘성수맑음,성수동2가 333-140,5.0,1,5,1.5,37.5415158,127.0534021
232,세가프레도 뚝섬A타워점,성수동1가 656-1747,0.0,0,9,0.9,37.5459203,127.0482744
233,코이케이,성수동1가 656-574,4.0,1,4,1.4,37.5416714,127.0477682
234,카페더어썸,성수동1가 656-766,4.0,6,19,7.9,37.5464578,127.0484361
235,탐앤탐스 성수1호점,성수동2가 325-2,3.0,1,2,1.2,37.5402355,127.0550975
236,카페라니,성수동2가 316,5.0,4,1,4.1,37.5436624,127.0534349
237,머스트컴,성수동1가 656-1229,0.0,0,8,0.8,37.5459412,127.0458297
238,수피하우스,성수동2가 320-5,3.0,2,6,2.6,37.5415548,127.0557926
239,칸토,성수동1가 16-40,5.0,1,6,1.6,37.5434045,127.0515009
240,컴포즈커피 성수역점,성수동2가 314-6,0.0,0,3,0.3,37.5447192,127.0546652
241,무가당 서울숲점,성수동1가 685-704,0.0,0,5,0.5,37.5435626,127.0436285
242,성수동더블랙,성수동1가 656-1043,4.0,5,8,5.8,37.5470525,127.0452
243,앨리스앤코,성수동2가 315-41,4.0,1,35,4.5,37.54291389999999,127.0557212
244,순이,송정동 71-12,0.0,0,3,0.3,37.5521016,127.0682887
245,아리스타커피 서울숲점,성수동2가 321-16,4.3,3,0,3.0,37.5419621,127.053891
246,요거프레소 서울숲1호점,성수동1가 612,5.0,1,0,1.0,37.5395854,127.0456324
247,카페마빈 건대점,화양동 42-16,0.0,0,3,0.3,37.5426714,127.0646503
248,커피에반하다 성수동점,성수동2가 280-21,0.0,0,0,0.0,37.5467924,127.0632442
249,카페라샤워,성수동2가 277-37,0.0,0,0,0.0,37.5437384,127.0626249
250,카페오라,성수동1가 656-1122,5.0,1,0,1.0,37.5489556,127.0451044
251,카머스,성수동2가 320-5,5.0,1,15,2.5,37.5415548,127.0557926
252,쥬씨 뚝섬역점,성수동1가 715,2.5,6,3,6.3,37.5476895,127.0478818
253,플래닝샐러드,성수동1가 685-696,3.0,2,8,2.8,37.5457427,127.04246
254,커피볶는집낙타 본점,성수동1가 13-304,4.7,6,3,6.3,37.5485144,127.0492701
255,언니커피,성수동2가 532-8,0.0,0,1,0.1,37.537391,127.0544319
256,플로리다 랑군,성수동2가 273-13,5.0,1,21,3.1,37.5425787,127.059445
257,이디야커피 성수우리W타워점,성수동2가 277-28,4.0,2,0,2.0,37.5447256,127.0621362
258,수프앤베이글카페 성동점,송정동 66-259,5.0,1,1,1.1,37.5483042,127.0648096
